,X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes
0,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,1nYv6J5nPBrPLaXl8sUO7s,0.825379729805,IfcRailing,0.0139597639325
1,2.385,0.425,1.1175,2.22407755242,159.631764237,59.1760766294,1ebtU0g4fAwx_7wUW5_nPd,0.824473652228,IfcRailing,0.0139325500978
2,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,3w1$SS5sbA_8NkDoDBJkNw,0.825379729805,IfcRailing,0.0139597639325
3,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,1sq3ZCKcn6Q9Qy3oJcjS6Q,0.825379729805,IfcRailing,0.0139597639325
4,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223097,3zJdAHxef7TALi7pssIWZx,0.825379729807,IfcRailing,0.0139597639325
5,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,0mStS$juH0$wi3dHqZrUgd,0.825379729805,IfcRailing,0.0139597639325
6,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,0qOY75ijvFsR_umkpK6Led,0.825379729805,IfcRailing,0.0139597639325
7,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,2sYQ3wpfX8eQVzo8SbwlxD,0.825379729805,IfcRailing,0.0139597639325
8,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,0bxuYU3vbDUwnCCSeCFbMl,0.825379729806,IfcRailing,0.0139597639325
9,2.385,0.4175,1.1175,2.22778236613,159.585962692,59.0869683556,3w9$CvKpv0dhLlXd16X1xQ,0.824840129733,IfcRailing,0.0139597639325
10,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,0QhUJyYVf6kv6QGMf6oO99,0.825379729805,IfcRailing,0.0139597639325
11,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,13UvdNNU9A$vAHyJKoeOLC,0.825379729805,IfcRailing,0.0139597639325
12,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223095,0BsfPMIFH8Zv_Ow$15bzvY,0.825379729804,IfcRailing,0.0139597639325
13,2.38508120518,0.43508158464,1.1175,2.22593432962,159.608792341,59.1508790129,22lekKWcTBXw2QT1AUf$4c,0.824929318057,IfcRailing,0.013946188659
14,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,297XluJ5TBZ9MDdav8AJdt,0.825379729805,IfcRailing,0.0139597639325
15,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223095,3otxB_Cqf9RewWFNuf574U,0.825379729804,IfcRailing,0.0139597639325
16,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,0R38q9BnzFLed52g6e80mJ,0.825379729805,IfcRailing,0.0139597639325
17,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,17EsVZ1aP6LhBbb$qVMGSf,0.825379729805,IfcRailing,0.0139597639325
18,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,2yD66Bokr0jRIU3nebolJC,0.825379729805,IfcRailing,0.0139597639325
19,2.385,0.435,1.1175,2.22778236613,159.585962692,59.1256223096,2uwjZWb$56Dv$G_4Myi2RD,0.825379729805,IfcRailing,0.0139597639325
